id,name,address,roadAddress,displayCode,displayName,city_id,city_name,point_x,point_y,routeType_id,routeType_name,transfers,,,자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
11007,의정부중앙,경기도 의정부시 의정부동 15-10,경기도 의정부시 호국로 1305,U117,의정부중앙역,1000,서울,127.0496635,37.7436839,110,의정부경전철,,,,,,,
70117,범일,부산광역시 동구 범일동 949,부산광역시 동구 범일로 108,117,범일역,7000,부산,129.0593516,35.1408137,71,1호선,,,,,,,
70220,부암,부산광역시 부산진구 부전동 368-12,부산광역시 부산진구 가야대로 719,220,부암역,7000,부산,129.0504394,35.1574479,72,2호선,,,,,,,
70218,전포,부산광역시 부산진구 전포동 870-1,부산광역시 부산진구 전포대로 181,218,전포역,7000,부산,129.0653717,35.1530796,72,2호선,,,,,,,
70208,수영,부산광역시 수영구 광안동 1091-1,부산광역시 수영구 수영로 677,208,수영역,7000,부산,129.1147596,35.1654747,72,2호선,70301,,,,,,
70830,벡스코,부산광역시 해운대구 우동 1111-2,부산광역시 해운대구 해운대로 351,K119,벡스코역,7000,부산,129.1361069,35.171586,78,동해선,70205,,,,,,
70409,반여농산물시장,부산광역시 해운대구 석대동 507-1,부산광역시 해운대구 반송로 550,409,반여농산물시장역,7000,부산,129.123993,35.2177299,74,4호선,,,,,,,
70314,구포,부산광역시 북구 구포동 1157-1,부산광역시 북구 낙동대로 1697,314,구포역,7000,부산,128.9964116,35.2067292,73,3호선,,,,,,,
70233,덕천,부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 14,233,덕천역,7000,부산,129.0050679,35.2108728,72,2호선,70313,,,,,,
40129,명덕,대구광역시 중구 남산동 2321,대구광역시 중구 명덕로 185,129,명덕역,4000,대구,128.5912409,35.8581447,41,1호선,40339,,,,,,
40230,반월당,대구광역시 중구 덕산동 88,대구광역시 중구 달구벌대로 2100,230,반월당역,4000,대구,128.5930229,35.8655791,42,2호선,40130,,,,,,
50112,학동.증심사입구,광주광역시 동구 학동 1004-1,광주광역시 동구 남문로 700,102,학동.증심사입구역,5000,광주,126.9283351,35.1328803,51,1호선,,,,,,,
30105,중앙로,대전광역시 중구 은행동 216,대전광역시 중구 중앙로 145,105,중앙로역,3000,대전,127.4258412,36.3286627,31,1호선,,,,,,,
119,월계,서울특별시 노원구 월계동 263-1,서울특별시 노원구 월계로 53길 40,118,월계역,1000,서울,127.0588579,37.6331217,1,1호선,,,,,,,
413,쌍문,서울특별시 도봉구 창동 703-4,서울특별시 도봉구 도봉로 486-1,413,쌍문역,1000,서울,127.0347017,37.6485878,4,4호선,,,,,,,
411,노원,서울특별시 노원구 상계동 602-5,서울특별시 노원구 상계로 69-1,411,노원역,1000,서울,127.0634132,37.6563653,4,4호선,713,,,,,,
714,중계,서울특별시 노원구 중계동 503-3,서울특별시 노원구 동일로 1308-1,714,중계역,1000,서울,127.0641099,37.645112,7,7호선,,,,,,,
11008,동오,경기도 의정부시 신곡동 547-15,경기도 의정부시 장곡로 471,U118,동오역,1000,서울,127.0569791,37.7452685,110,의정부경전철,,,,,,,
70116,좌천,부산광역시 동구 좌천동 236,부산광역시 동구 중앙대로 446,116,좌천역,7000,부산,129.0545565,35.1345051,71,1호선,,,,,,,
70221,가야,부산광역시 부산진구 가야동 15-13,부산광역시 부산진구 가야대로 650,221,가야역,7000,부산,129.0431287,35.1559062,72,2호선,,,,,,,
70217,국제금융센터.부산은행,부산광역시 남구 문현동 728-3,부산광역시 남구 전포대로 97,217,국제금융센터.부산은행역,7000,부산,129.0667576,35.1459695,72,2호선,,,,,,,
70209,광안,부산광역시 수영구 광안동 205,부산광역시 수영구 수영로 576,209,광안역,7000,부산,129.1131472,35.157912,72,2호선,,,,,,,
70207,민락,부산광역시 수영구 민락동 345-1,부산광역시 수영구 수영로 769,207,민락역,7000,부산,129.1219407,35.1671912,72,2호선,,,,,,,
70831,신해운대,부산광역시 해운대구 좌동 134-1,부산광역시 해운대구 장산로 427 해운대정거장,K120,신해운대역,7000,부산,129.1770069,35.1817128,78,동해선,,,,,,,
70205,벡스코,부산광역시 해운대구 우동 1086-3,부산광역시 해운대구 해운대로 396,205,벡스코역,7000,부산,129.1384494,35.1691434,72,2호선,70830,,,,,,
70410,석대,부산광역시 해운대구 석대동 574-14,부산광역시 해운대구 석대천로 121,410,석대역,7000,부산,129.1369934,35.2181498,74,4호선,,,,,,,
70315,강서구청,부산광역시 강서구 대저1동 2300-3,부산광역시 강서구 낙동북로 485,315,강서구청역,7000,부산,128.9820012,35.2112378,73,3호선,,,,,,,
70234,수정,부산광역시 북구 화명동 941-1,부산광역시 북구 금곡대로 160,234,수정역,7000,부산,129.0091671,35.223314,72,2호선,,,,,,,
